station_key,Charging Station ID,Charging Station Location,total_sessions,total_energy_kwh,avg_charging_duration_hours,avg_charging_rate_kw,avg_cost_usd,avg_traffic_score,peak_hour_sessions,avg_temperature_c,avg_precipitation_mm,matched_station_metadata_rows
Station_108_Houston,Station_108,Houston,5,215.52485134273903,2.2240686084680945,22.757841906456388,19.36803328875378,46.4,1,11.16,0.1,0
Station_382_Los Angeles,Station_382,Los Angeles,4,154.26854424385124,2.2630558279908817,28.238735368077748,21.721791409758595,53.75,2,11.524999999999999,0.0,4
Station_436_Houston,Station_436,Houston,4,142.19275741933447,2.4975128361584797,17.664108017798412,17.934140733495553,51.0,1,9.525,1.925,0
Station_35_Houston,Station_35,Houston,3,195.6242869787901,2.479953121775736,22.910535693874653,16.182735396837543,60.666666666666664,1,9.933333333333334,1.3,0
Station_279_Los Angeles,Station_279,Los Angeles,3,186.60454204833582,1.6528065334941857,16.33379061131966,18.268403731665064,63.666666666666664,1,11.566666666666668,0.6333333333333333,3
Station_351_San Francisco,Station_351,San Francisco,3,185.96330635134353,2.040753382282759,23.450063383471136,27.709766689776995,44.666666666666664,0,9.5,0.5666666666666667,0
Station_330_Houston,Station_330,Houston,3,183.98821453989854,2.406776459183929,36.128976506279834,15.807569062175949,50.666666666666664,0,10.200000000000001,0.2333333333333333,0
Station_180_New York,Station_180,New York,3,176.46908594297835,2.339285876175852,22.61346065706817,24.855003498576878,85.33333333333333,2,7.333333333333333,0.0,3
Station_219_Los Angeles,Station_219,Los Angeles,3,174.8712323376134,2.2849916443178926,23.605554718191613,31.12248582099292,52.0,1,7.433333333333334,0.2333333333333333,3
Station_120_Houston,Station_120,Houston,3,172.23488993218595,1.8452395496777685,29.658093475095228,22.851207919730502,61.666666666666664,0,12.033333333333331,0.0,0
Station_324_New York,Station_324,New York,3,171.97816455574258,2.2126016130353343,21.151859569838212,10.837611373891109,73.0,1,11.733333333333334,0.0,3
Station_335_San Francisco,Station_335,San Francisco,3,164.87523304444323,1.7981659699009767,16.10878721537074,20.307898815912715,51.333333333333336,1,7.533333333333334,0.0,0
Station_402_New York,Station_402,New York,3,158.99358011758738,1.5337548342112484,22.633148885961415,10.506839017341811,52.333333333333336,0,12.033333333333333,0.0,3
Station_182_Houston,Station_182,Houston,3,157.74627750746572,2.5099087436344667,32.064040426814586,17.23581798445631,65.0,2,11.233333333333334,0.0,0
Station_198_Chicago,Station_198,Chicago,3,156.90160819221535,2.234419815383395,27.55149350968679,19.58636008187198,62.333333333333336,2,-8.700000000000001,0.0,0
Station_341_New York,Station_341,New York,3,156.2048166508735,1.9704277902467116,28.579182000663234,27.479762766324097,61.0,1,6.633333333333333,2.1333333333333333,3
Station_292_Los Angeles,Station_292,Los Angeles,3,155.01773365316274,3.101422737592483,10.501441038967764,30.842408048786464,74.0,2,9.233333333333333,0.0,3
Station_44_Los Angeles,Station_44,Los Angeles,3,147.38682388690884,2.8185833511043774,14.983133018171875,22.291698518541036,70.0,2,9.5,0.0,3
Station_355_San Francisco,Station_355,San Francisco,3,143.9798304680595,3.267798408715971,15.850409950758864,17.540761359598207,69.0,1,10.0,0.0,0
Station_413_Los Angeles,Station_413,Los Angeles,3,141.59037129626776,1.4885373608388381,26.52654429993203,16.46311032084149,58.333333333333336,1,8.133333333333333,0.9333333333333332,3
Station_10_Chicago,Station_10,Chicago,3,133.97357319537346,1.0346696412828347,18.978796141011667,24.66907852426813,56.0,1,-10.833333333333334,0.3,0
Station_57_Houston,Station_57,Houston,3,133.95638956526273,1.9719358195618166,7.398656199565491,31.75744386774099,46.0,1,9.666666666666666,4.0,0
Station_154_Los Angeles,Station_154,Los Angeles,3,133.3251781696991,2.1804968231953934,34.59441534363754,19.575251767867567,54.333333333333336,1,5.266666666666667,0.0,3
Station_49_San Francisco,Station_49,San Francisco,3,132.14716371594292,2.5458413103154642,17.395124547950772,23.935857436030783,63.0,1,9.166666666666666,0.0,0
Station_127_San Francisco,Station_127,San Francisco,3,127.61218964114727,2.8288135517500694,27.7955915967966,22.5102656266654,53.333333333333336,2,11.1,0.9,0
Station_90_Los Angeles,Station_90,Los Angeles,3,126.86458869114836,1.7236697754605546,24.149680817325095,23.15817051544455,52.333333333333336,0,7.733333333333333,0.0,3
